Merchant Name,Expense Category
WAL-MART SUPERCENTER#3064,Supplies
OLDNAVY.COM 2944,Supplies
DENTISTRY @ PRESERVE,Medical
SP SUZYSHIER,Supplies
OLDNAVY.COM 2944,Supplies
Swarovski,Supplies
ROYAL BANK OF CANADA,Payment
LYFT *RIDE SUN 9PM,Travel
SP DANIER,Supplies
LYFT *RIDE MON 7AM,Travel
RELIANCE HOME COMFORT,Property Mgmt
GAP.COM 4584,Supplies
GAP.COM 4584,Supplies
HM Hennes Mauritz Inc.,Supplies
DD/DOORDASHBOOSTERJUIC,Meals
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
REWARDS REDEMPTION,Payment
WWW.CANADIANTIRE.CA,Property Mgmt
TIM HORTONS #1476,Meals
WAL-MART SUPERCENTER#3064,Supplies
GREAT CLIPS              OAKVILLE     ON,Agent Misc
BOBACHA CAFE (OAKVILLE   OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
LISTRO'S NO FRILLS #36   NORTH YORK   ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
WAL*MART CANADA INC      Mississauga  ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
WAL*MART CANADA INC      Mississauga  ON,Supplies
DOLLARAMA #1005          OAKVILLE     ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
MISSISSAUGA WOMANS CLI   MISSISSAUGA  ON,Supplies
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
BOOSTER JUICE #476       OAKVILLE     ON,Meals
PIZZAVILLE STORE 137     OAKVILLE     ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
CLASSIC BOWL             MISSISSSAUGA ON,Entertainment
FOOD BASICS  841         OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
ESSO CIRCLE K            OAKVILLE     ON,Gas
AIR CAN* 00141887671958  AIRCANADA.COMMB,Travel
AIR CAN* 00146964340149  AIRCANADA.COMMB,Travel
AIR CAN* 00146964340150  AIRCANADA.COMMB,Travel
AIR CAN* 00141887671959  AIRCANADA.COMMB,Travel
ESSO CIRCLE K            KITCHENER    ON,Gas
FRESHCO #9712            OAKVILLE     ON,Meals
ESSO CIRCLE K            OAKVILLE     ON,Gas
ESSO CIRCLE K            MISSISSAUGA  ON,Gas
WAL*MART CANADA INC      Mississauga  ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Supplies
AIR CAN* 00142145383535  AIRCANADA.COMMB,Travel
FRESHCO #9712            OAKVILLE     ON,Meals
AIR CAN* 00142145383536  AIRCANADA.COMMB,Travel
WAL*MART CANADA INC      Mississauga  ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
TIM HORTONS #1623        905-257-1294 ON,Meals
D&G SUBZI MANDI CASH &   MISSISSAUGA  ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
ESSO CIRCLE K            BURLINGTON   ON,Gas
FOOD BASICS  841         OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
BEST BUY CANADA #930     OAKVILLE     ON,Hardware
DENTISTRY @ PRESERVE     OAKVILLE     ON,Medical
WAL-MART # 3064          OAKVILLE     ON,Supplies
WAL*MART CANADA INC      Mississauga  ON,Supplies
THE CHILDRENS PLACE      MISSISSAUGA  ON,Supplies
WAL*MART CANADA INC      Mississauga  ON,Supplies
BEST BUY CANADA #930     OAKVILLE     ON,Hardware
WAL*MART CANADA INC      Mississauga  ON,Supplies
BEST BUY.CA # 900        MISSISSAUGA  ON,Hardware
FRESHCO #9712            OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
ESSO CIRCLE K            MISSISSAUGA  ON,Gas
D&G SUBZI MANDI CASH &   MISSISSAUGA  ON,Meals
BOOSTER JUICE #476       OAKVILLE     ON,Meals
PIZZAVILLE #137 OAKVIL   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
ESSO CIRCLE K            BURLINGTON   ON,Gas
FOOD BASICS  841         OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
SAFARI CHILDREN'S DENT   BURLINGTON   ON,Medical
FRESHCO #9712            OAKVILLE     ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
TOMMY HILFIGER #759      HALTON HILLS ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
PRESTO                   TORONTO      ON,Travel
D&G SUBZI MANDI CASH &   MISSISSAUGA  ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
SUBZI MANDI CASH & CAR   Brampton     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
RED CHILLI CHINESE CUI   MISSISSUAGA  ON,Meals
ESSO CIRCLE K            MILTON       ON,Gas
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
COSTCO *ANNUAL RENEWAL   800-463-3783 ON,Subscription
FRESHCO #9712            OAKVILLE     ON,Meals
THE CHILDRENS PLACE      MISSISSAUGA  ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
BOOSTER JUICE #476       OAKVILLE     ON,Meals
PIZZAVILLE STORE 137     OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
BOOSTER JUICE #476       OAKVILLE     ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
DOLLARAMA #1005          OAKVILLE     ON,Supplies
DOLLARAMA #1005          OAKVILLE     ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
MILAN ICE CREAM & PAAN   MISSISSAUGA  ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
DUNDAS NEYGAWA PHARMAC   OAKVILLE     ON,Medical
FOOD BASICS  841         OAKVILLE     ON,Meals
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
SP THE ROM BOUTIQUE      TORONTO      ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
D&G SUBZI MANDI CASH &   MISSISSAUGA  ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
SHOPPERS DRUG MART #12   OAKVILLE     ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
BOOSTER JUICE #476       OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
THE CHILDRENS PLACE      MISSISSAUGA  ON,Supplies
WAL-MART # 3064          OAKVILLE     ON,Meals
TIM HORTONS #2118        289-242-7019 ON,Meals
TIM HORTONS #2118        289-242-7019 ON,Meals
CHAI PANI                OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
TIM HORTONS #5556        TORONTO      ON,Meals
SQ *FRESHWEST GRILL WA   Toronto      ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
CLAIRE'S #2506           MISSISSAUGA  ON,Supplies
WAL-MART #1211           MISSISSAUGA  ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
SUBZI MANDI CASH & CAR   MISSISSAUGA  ON,Meals
TIM HORTONS #2118        OAKVILLE     ON,Meals
PRESERVE HEALTH CENTRE   OAKVILLE     ON,Medical
Payment RBC,Payment
WAL-MART # 3064          OAKVILLE     ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
SUBZI MANDI CASH & CAR   MISSISSAUGA  ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
TIM HORTONS #5556        TORONTO      ON,Meals
SUBZI MANDI CASH & CAR   MISSISSAUGA  ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
MOMO2GO                  ETOBICOKE    ON,Meals
Payment RBC,Payment
RCSS #1024               OAKVILLE     ON,Meals
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
SUBZI MANDI CASH & CAR   MISSISSAUGA  ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
THE CHILDRENS PLACE      MISSISSAUGA  ON,Supplies
BOOSTER JUICE #476       OAKVILLE     ON,Meals
PRESERVE HEALTH CENTRE   OAKVILLE     ON,Medical
STAPLES STORE #4         OAKVILLE     ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
WAL-MART # 3064          OAKVILLE     ON,Supplies
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
BRARS GRAND BUFFET       BRAMPTON     ON,Meals
APPLEVALE ORCHARDS       BURLINGTON   ON,Meals
TIM HORTONS #1685        BURLINGTON   ON,Meals
TIM HORTONS #1685        BURLINGTON   ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
BOOSTER JUICE #476       OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
FRESHCO #9712            OAKVILLE     ON,Meals
TIM HORTONS #5556        TORONTO      ON,Meals
1000249468 ONTARIO INC   TORONTO      ON,Meals
DYNACARE B6              OAKVILLE     ON,Medical
RCSS #1024               OAKVILLE     ON,Meals
WINNERSHOMESENSE 36703   OAKVILLE     ON,Supplies
SUBZI MANDI CASH & CAR   MISSISSAUGA  ON,Meals
Payment RBC,payment
FRESHCO #9712            OAKVILLE     ON,Meals
WINNERS 483              TORONTO      ON,Supplies
TIM HORTONS #5556        TORONTO      ON,Supplies
REXALL PHARMACY #8164    TORONTO      ON,Supplies
1000249468 ONTARIO INC   TORONTO      ON,Meals
TIM HORTONS #5556        TORONTO      ON,Meals
1000249468 ONTARIO INC   TORONTO      ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
DOLLARAMA #1415          OAKVILLE     ON,Supplies
WAL-MART # 3064          OAKVILLE     ON,Supplies
WAL-MART # 3064          OAKVILLE     ON,Supplies
MTO RUS SO OAKVILLE NO   OAKVILLE     ON,Supplies
MTO RUS SO OAKVILLE NO   OAKVILLE     ON,Supplies
WAL*MART CANADA INC      Mississauga  ON,Supplies
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
SUBZI MANDI CASH & CAR   MISSISSAUGA  ON,Meals
TIM HORTONS #0611        OAKVILLE     ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
GARAGE #209              OAKVILLE     ON,Supplies
OHBOMBAY.CA              BURLINGTON   ON,Meals
MOS MOS COFFEE           TORONTO      ON,Meals
MOS MOS COFFEE           TORONTO      ON,Meals
GREAT CLIPS #9280        OAKVILLE     ON,Agent Misc
RCSS #1024               OAKVILLE     ON,Meals
DOLLARAMA #1226          TORONTO      ON,Supplies
TIM HORTONS #5556        TORONTO      ON,Meals
1000249468 ONTARIO INC   TORONTO      ON,Meals
SQ *FRESHWEST GRILL WA   Toronto      ON,Meals
GARAGE #287              HALTON HILLS ON,Supplies
ARDENE #267              GEORGETOWN   ON,Supplies
COFFEE CULTURE CAFE &    MILTON       ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
1000249468 ONTARIO INC   TORONTO      ON,Meals
1000249468 ONTARIO INC   TORONTO      ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
RCSS #1024               OAKVILLE     ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
1000249468 ONTARIO INC   TORONTO      ON,Meals
TIM HORTONS #5556        TORONTO      ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
ROYAL PAAN               MILTON       ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
Payment RBC,Payment
FRESHCO #9712            OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
RCSS #1024               OAKVILLE     ON,Meals
THE SAUGA BAR X CHANGE   MISSISSAUGA  ON,Meals
APNA FARM                MISSISSAUGA  ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
1000249468 ONTARIO INC   TORONTO      ON,Meals
PRESTO OAKVILLE RELOAD   OAKVILLE     ON,Travel
FRESHCO #9712            OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
TIM HORTONS #2118        289-242-7019 ON,Meals
LA PREP                  OAKVILLE     ON,Meals
LA PREP                  OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
TIM HORTONS #6544        416-937-4750 ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
TIM HORTONS #6544        416-937-4750 ON,Meals
LA PREP                  OAKVILLE     ON,Meals
TIM HORTONS #6544        416-937-4750 ON,Meals
Payment RBC,Payment
TIM HORTONS #6544        416-937-4750 ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
TIM HORTONS #6544        416-937-4750 ON,Meals
TIM HORTONS #6544        416-937-4750 ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
THE CHILDREN'S PLACE #   MISSISSAUGA  ON,Supplies
D&G SUBZI MANDI CASH &   MISSISSAUGA  ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
TIM HORTONS #2118        289-242-7019 ON,Meals
SHOPPERS DRUG MART #08   OAKVILLE     ON,Supplies
H & M CA # 008 - OAKVI   OAKVILLE     ON,Supplies
FOOD BASICS  841         OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
WAL-MART #3054           MISSISSAUGA  ON,Supplies
D&G SUBZI MANDI CASH &   MISSISSAUGA  ON,Meals
WAL*MART CANADA INC      Mississauga  ON,Supplies
SHOPPERS DRUG MART 701   BRAMPTON     ON,Supplies
TIM HORTONS #1476        416-508-5792 ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
WAL*MART CANADA INC      Mississauga  ON,Supplies
TIM HORTONS #1476        MISSISSAUGA  ON,Meals
PITA LAND TRILLIUM MIS   MISSISSAUGA  ON,Meals
WAL-MART # 3064          OAKVILLE     ON,Supplies
TIM HORTONS #1476        MISSISSAUGA  ON,Meals
INS MARKET # 5538        MISSISSAUGA  ON,Meals
THP-MISSISSAUGA HOSPIT   MISSISSAUGA  ON,Meals
TIM HORTONS #1999        MISSISSAUGA  ON,Meals
TIM HORTONS #1999        MISSISSAUGA  ON,Meals
THE CHILDRENS PLACE      MISSISSAUGA  ON,Supplies
TIM HORTONS #1999        MISSISSAUGA  ON,Meals
TIM HORTONS #6544        OAKVILLE     ON,Meals
LA PREP                  OAKVILLE     ON,Meals
DOLLARAMA #1005          OAKVILLE     ON,Supplies
TIM HORTONS #6544        OAKVILLE     ON,Meals
FORTINOS (NEYAGAWA 201   OAKVILLE     ON,Meals
FOOD BASICS  841         OAKVILLE     ON,Meals
FRESHCO #9712            OAKVILLE     ON,Meals
TIM HORTONS #6544        OAKVILLE     ON,Meals
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W524 ETOBICOKE, ON",Gas
"SHELL C11318 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W159 AJAX, ON",Supplies
"COSTCO GAS W159 AJAX, ON",Gas
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
"COSTCO GAS W159 AJAX, ON",Gas
"SHELL C11318 MISSISSAUGA, ON",Gas
"COSTCO GAS W1414 NIAGARA FALLS, ON",Gas
"COSTCO WHOLESALE W1414 NIAGARA FALLS, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"SHELL C11318 MISSISSAUGA, ON",Gas
"SHELL C21831 OAKVILLE, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO GAS W1414 NIAGARA FALLS, ON",Gas
"COSTCO WHOLESALE W1414 NIAGARA FALLS, ON",Supplies
"SHELL C11318 MISSISSAUGA, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W159 AJAX, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO GAS W159 AJAX, ON",Gas
"COSTCO GAS W159 AJAX, ON",Gas
"ONROUTE #01172 ODESSA, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W1414 NIAGARA FALLS, ON",Supplies
"COSTCO GAS W1414 NIAGARA FALLS, ON",Gas
"SHELL C02862 BURLINGTON, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"SHELL C02862 BURLINGTON, ON",Gas
"COSTCO WHOLESALE W526 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"MEINEKE CAR CARE CENTR OAKVILLE, ON",Vehicle Maint
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W526 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Vehicle Misc
"COSTCO WHOLESALE W526 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO GAS W159 AJAX, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W526 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
PAYMENT,Payment
"SHELL C11318 MISSISSAUGA, ON",Gas
"SHELL C20130 MISSISSAUGA, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"ONROUTE #01164 WOODSTOCK, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"SHELL C11318 MISSISSAUGA, ON",Gas
"PETROCAN BURLINGTON, ON",Gas
"COSTCO GAS W1414 NIAGARA FALLS, ON",Gas
"SHELL C21831 OAKVILLE, ON",Gas
PAYMENT,Payment
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
WELCOME BONUS,Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
"SHELL C11318 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"SHELL C20130 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
PAYMENT,Payment
"SHEVY AUTO MISSISSAUGA, ON",Vehicle Maint
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W547 VAUGHAN, ON",Gas
"SHELL C11318 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"OH BOMBAY BURLINGTON BURLINGTON, ON",Meals
"COSTCO WHOLESALE W1261 WOODBRIDGE, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W1261 VAUGHAN, ON",Gas
"MAJESTIC AUTO WASH BURLINGTON, ON",Vehicle Maint
PAYMENT,Payment
"SHELL C45045 ST CATHARINES, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"TIM HORTONS #3625 NIAGARA FALLS, ON",Meals
"BK #26005 STONEY CREEK, ON",Meals
"COSTCO GAS W1414 NIAGARA FALLS, ON",Gas
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"TIM HORTONS #1677 MISSISSAUGA, ON",Meals
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W1273 STONEY CREEK, ON",gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"SHELL C11318 MISSISSAUGA, ON",Gas
PAYMENT THANK YOU/PAIEMEN T MERCI,Payment
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"CDN TIRE STORE #00429 OAKVILLE, ON",Supplies
"SWADESH BURLINGTON BURLINGTON, ON",Meals
"SHELL C02862 BURLINGTON, ON",Gas
"WWW COSTCO CA 888-426-7826, ON",Property Mgmt
"WWW COSTCO CA 888-426-7826, ON",Property Mgmt
"COSTCO WHOLESALE W162 BRAMPTON, ON",Supplies
"SHELL C11318 MISSISSAUGA, ON",Gas
"TIM HORTONS #1623 OAKVILLE, ON",Meals
"OH BOMBAY OAKVILLE, ON",Meals
"TIM HORTONS 1153 ST.CATHARINES, ON",Meals
"SHELL C11298 MISSISSAUGA, ON",Gas
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"PIZZA PIZZA # 104 OAKVILLE, ON",Meals
"SHELL C11318 MISSISSAUGA, ON",Gas
PAYMENT THANK YOU/PAIEMEN T MERCI,
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"PETROCAN BURLINGTON, ON",Gas
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
"CINEPLEX 7123 OAKVILLE, ON",Entertainment
"CINEPLEX 7123 OAKVILLE, ON",Entertainment
"COSTCO GAS W1273 STONEY CREEK, ON",Gas
"Sunwing Onboard Bar 7L 416-620-4955, ON",Travel
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"LYFT *1 RIDE 11-26 VANCOUVER, BC",Travel
FOTUR LIMITED TRELAWNY 40.00 USD @ 1.373500,Travel
"Sunwing Onboard Bar 7L 416-620-4955, ON",Travel
"LYFT *RIDE THU 7AM VANCOUVER, BC",Travel
"DOLLARAMA #1005 OAKVILLE, ON",Supplies
"MASTERMIND - OAKVILLE OAKVILLE, ON",Supplies
"ROYAL PAAN MILTON, ON",Meals
"TIM HORTONS #0316 OAKVILLE, ON",Meals
"SHELL C11318 MISSISSAUGA, ON",Gas
"TIM HORTONS #1134 MISSISSAUGA, ON",Meals
"GOTCHA BUBBLE TEA MISSISSAUGA, ON",Meals
"LYFT *RIDE WED 7PM VANCOUVER, BC",Travel
"COSTCO GAS W526 MISSISSAUGA, ON",Gas
"Tesla Motors Toronto, ON",Vehicle Maint
"GREAT CLIPS #9280 OAKVILLE, ON",Agent Misc
"TIM HORTONS #1647 BRAMPTON, ON",Meals
"PET VALU #2343 OAKVILLE, ON",Pet Supplies
"BOOSTER JUICE #199 MISSISSAUGA, ON",Meals
"KWALITY GRAND INDIAN B MISSISSAUGA, ON",Meals
"MAC'S SUSHI MISSISSAUGA, ON",Meals
"SQ *BUBBLE BE BE PET G Oakville, ON",Pet Supplies
PAYMENT THANK YOU/PAIEMEN T MERCI,Payment
"COSTCO WHOLESALE W526 MISSISSAUGA, ON",Supplies
"SHELL C11318 MISSISSAUGA, ON",Gas
"PIZZAVILLE #137 OAKVIL OAKVILLE, ON",Meals
"SHOPPERS DRUG MART #08 OAKVILLE, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"DUNDAS NEYGAWA PHARMAC OAKVILLE, ON",Medical
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"TIM HORTONS #2118 OAKVILLE, ON",Meals
"DOLLARAMA #1005 OAKVILLE, ON",Supplies
"WAL-MART # 3064 OAKVILLE, ON",Supplies
"COSTCO WHOLESALE W531 MISSISSAUGA, ON",Supplies
"WAL-MART # 3064 OAKVILLE, ON",Supplies
PAYMENT THANK YOU/PAIEMEN T MERCI,Payment
ROYAL BANK OF CANADA, Payment
H & M CA # 010 - ERIN, Supplies
